"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"8","50","1000","11","50"
"6","50","1000","42","50"
"8","50","1000","12","50"
"8","50","1000","13","50"
"7","50","1000","40","50"
"5","50","1000","48","45"
"8","50","1000","14","50"
"8","50","1000","15","50"
"6","50","1000","43","48"
"7","50","1000","41","50"
"8","50","1000","16","50"
"5","50","1000","49","42"
"8","50","1000","17","50"
"8","50","1000","18","50"
"6","50","1000","44","47"
"8","50","1000","19","50"
"7","50","1000","42","49"
"5","50","1000","50","42"
"8","50","1000","20","50"
"6","50","1000","45","47"
"8","50","1000","21","50"
"7","50","1000","43","47"
"8","50","1000","22","50"
"5","50","1000","51","41"
"6","50","1000","46","46"
"8","50","1000","23","50"
"8","50","1000","24","50"
"7","50","1000","44","46"
"5","50","1000","52","41"
"8","50","1000","25","50"
"6","50","1000","47","44"
"7","50","1000","45","46"
"8","50","1000","26","50"
"5","50","1000","53","41"
"8","50","1000","27","50"
"6","50","1000","48","43"
"7","50","1000","46","44"
"8","50","1000","28","50"
"5","50","1000","54","40"
"6","50","1000","49","43"
"8","50","1000","29","50"
"7","50","1000","47","41"
"5","50","1000","55","40"
"8","50","1000","30","50"
"6","50","1000","50","40"
"7","50","1000","48","41"
"8","50","1000","31","50"
"6","50","1000","51","40"
"8","50","1000","32","50"
"7","50","1000","49","38"
